price,timeStamp
195.0,2021-02-22 12:48:01.771000+00:00
200.0,2021-02-22 12:52:56.611000+00:00
609.0,2021-02-22 12:59:33.822000+00:00
205.0,2021-02-22 13:04:49.051000+00:00
203.0,2021-02-22 13:09:52.281000+00:00
204.0,2021-02-22 13:15:23.756000+00:00
253.0,2021-02-22 13:28:25.715000+00:00
209.0,2021-02-22 13:34:55.670000+00:00
214.0,2021-02-22 13:45:26.778000+00:00
245.0,2021-02-22 13:46:10.199000+00:00
210.0,2021-02-22 13:46:16.792000+00:00
210.0,2021-02-22 13:52:11.531000+00:00
215.0,2021-02-22 13:53:49.424000+00:00
219.0,2021-02-22 14:00:52.663000+00:00
600.0,2021-02-22 14:30:42.272000+00:00
219.0,2021-02-22 14:33:15.157000+00:00
218.0,2021-02-22 14:35:22.316000+00:00
220.0,2021-02-22 14:39:37.679000+00:00
220.0,2021-02-22 14:47:13.246000+00:00
220.0,2021-02-22 14:48:48.240000+00:00
1100.0,2021-02-22 14:50:43.321000+00:00
222.0,2021-02-22 14:53:42.862000+00:00
600.0,2021-02-22 14:54:01.577000+00:00
550.0,2021-02-22 14:57:17.988000+00:00
619.0,2021-02-22 14:59:58.507000+00:00
620.0,2021-02-22 15:01:35.435000+00:00
230.0,2021-02-22 15:03:13.380000+00:00
225.0,2021-02-22 15:04:33.528000+00:00
700.0,2021-02-22 15:05:00.633000+00:00
225.0,2021-02-22 15:11:31.515000+00:00
333.0,2021-02-22 15:11:39.123000+00:00
229.0,2021-02-22 15:22:31.487000+00:00
230.0,2021-02-22 15:25:44.220000+00:00
230.0,2021-02-22 15:30:15.097000+00:00
240.0,2021-02-22 15:34:10.949000+00:00
245.0,2021-02-22 15:37:43.450000+00:00
249.0,2021-02-22 15:51:11.509000+00:00
625.0,2021-02-22 16:06:40.123000+00:00
240.0,2021-02-22 16:20:09.865000+00:00
1149.0,2021-02-22 16:21:09.735000+00:00
255.0,2021-02-22 16:23:01.946000+00:00
1132.0,2021-02-22 16:23:06.867000+00:00
235.0,2021-02-22 16:32:02.281000+00:00
235.0,2021-02-22 16:34:27.139000+00:00
249.0,2021-02-22 16:41:14.734000+00:00
595.0,2021-02-22 16:47:03.237000+00:00
625.0,2021-02-22 16:49:07.189000+00:00
250.0,2021-02-22 17:02:50.742000+00:00
628.0,2021-02-22 17:05:51.115000+00:00
250.0,2021-02-22 17:07:56.796000+00:00
