moment_id,set_id,play_id,serialNumber
2385760,26,565,8408
1787852,26,456,11674
2294381,26,557,8529
1851195,26,526,10626
2612578,26,493,14723
2441148,26,492,14043
2486575,26,463,14220
2541056,26,505,14826
2612392,26,468,14662
2426292,26,475,12937
1570996,26,387,8523
2313441,26,560,2589
1887035,26,487,10209
2499690,26,400,12835
1462384,26,497,5661
1085908,26,484,3244
1667272,26,407,9183
1625516,26,489,7793
1693445,26,478,9631
1644393,26,492,8420
1388530,26,511,6307
1480424,26,476,6201
1211117,26,514,1327
1530822,26,473,6599
1575458,26,397,8235
1639135,26,487,7912
1566688,26,383,8090
1243760,26,498,2970
1522595,26,501,5497
1322219,26,475,4929
1341336,26,497,4421
1549166,32,518,1693
1975292,26,532,11949
1013110,26,460,1071
2539540,26,469,14810
1576493,26,405,7645
1821499,26,525,7313
2498398,26,526,13418
2669246,32,617,5796
2352956,26,562,11729
2659595,32,616,9020
2698513,32,621,8938
2697588,32,620,9263
2676818,32,618,5743
2584525,26,490,13170
2423782,26,494,13552
1418941,26,499,6343
2410300,26,557,14320
1389275,26,411,6052
2015114,26,534,11013
1893012,26,528,9561
1459377,26,483,5029
1493808,26,465,6835
1456538,26,505,7440
1530396,26,394,6423
1108406,26,480,3992
1062003,26,456,3589
1220914,26,495,1499
2437968,26,396,12613
2238241,26,553,4889
2629846,26,481,14116
1626228,26,508,7880
535078,2,165,1521
877177,26,408,1653
1547913,32,519,940
1564864,32,520,4641
1548318,32,515,2720
1562191,32,517,4343
670232,22,289,907
911810,26,406,2911
878668,26,390,1144
1198715,26,504,425
839960,26,392,186
791630,2,307,593
729963,2,116,3174
737231,2,36,3239
787933,2,308,531
90130,2,48,410
644313,22,185,479
1279214,26,508,3799
1271999,26,488,3459
1168297,26,485,1757
1241807,26,507,2892
1057557,26,464,2268
914607,26,387,2958
1092403,26,465,3864
872363,26,392,1464
1006868,26,478,329
1215873,26,487,2958
1013970,26,459,1556
1263229,26,493,3439
911736,26,405,2712
1046672,26,459,2258
933345,26,394,3571
1030477,26,477,813
1265610,26,499,3570
915139,26,391,2865
992778,26,456,1239
1047121,26,470,1957
240874,2,21,1128
1235106,26,513,1441
1166925,26,485,1260
1214813,26,494,1023
1035354,26,477,1190
1037032,26,483,743
1245379,26,510,2964
926464,26,400,3190
867980,26,391,1081
1269958,26,514,3418
869973,26,404,1324
1051911,26,479,1622
1279143,26,498,3978
1027140,26,468,1351
1080680,26,479,3266
1250473,26,491,2933
1036126,26,465,1462
1053786,26,468,2122
1020514,26,474,1225
1245975,26,514,2935
1071690,26,476,2651
1277215,26,506,3800
1063644,26,456,3730
938030,26,409,3381
830822,26,383,2048
923671,26,383,3897
833990,26,383,2466
1213164,26,506,1874
1268811,26,487,3771
1199563,26,507,1398
1105821,26,475,3907
1205863,26,500,1448
1279776,26,488,3736
1279566,26,507,3901
1267371,26,502,3331
1226940,26,496,1900
869614,26,411,1715
1236731,26,490,2066
1238566,26,494,1901
1200414,26,512,1374
846910,26,407,636
1272530,26,492,3490
989629,26,455,965
1099854,26,475,3440
993269,26,456,1355
880782,26,412,1383
1239691,26,494,2151
1210386,26,505,1471
1252845,26,490,3055
1203838,26,506,1298
1039022,26,476,1233
1089357,26,475,3068
1045995,26,475,1831
1273777,26,490,3862
868875,26,403,1101
908825,26,398,2551
1267454,26,497,3539
1205037,26,509,1497
1168005,26,487,465
943772,26,411,3873
876752,26,388,1728
1100759,26,462,3720
923689,26,383,3915
1213561,26,497,1146
1014759,26,460,1220
1016138,26,459,1849
1090353,26,476,3689
995609,26,456,2070
1026600,26,472,1061
1091830,26,462,2791
1202324,26,507,1534
1221770,26,504,1105
1250765,26,494,2600
1242045,26,498,2630
873716,26,390,1067
1241149,26,493,2234
1270452,26,510,3537
990284,26,455,1370
1226430,26,503,2265
1208840,26,509,1675
1238457,26,498,2417
1249391,26,505,3101
1081738,26,467,3324
1185998,26,505,708
1194322,26,501,1032
1206326,26,492,1036
1191893,26,512,1103
1096366,26,480,3202
1230045,26,502,2130
1088452,26,473,3413
870867,26,400,1343
882154,26,400,1755
864479,26,406,1330
1219265,26,486,3475
1248453,26,502,2663
1069143,26,476,2479
1173009,26,487,1844
1260550,26,494,3135
1268081,26,490,3666
1082953,26,467,3414
1171321,26,487,1531
1252854,26,490,3064
1260018,26,490,3478
